,지역,년,주,주 평균 일교차(°C),전날 대비 최고 기온 상승 최대 변화(°C),전날 대비 최저 기온 하강 최대 변화(°C),주평균 최대 풍속(m/s),주평균 평균 풍속(m/s),SO2_최대값,CO_최대값,O3_최대값,NO2_최대값,PM10_최대값,PM25_최대값,풍향(N~NE),풍향(NE~E),풍향(E~SE),풍향(SE~S),풍향(S~SW),풍향(SW~W),풍향(W~NW),풍향(NW~N),환자 수,주 평균 기온(°C) 5도 미만,주 평균 기온(°C) 5도 이상 15도 미만,주 평균 기온(°C) 15도 이상 25도 미만,주 평균 기온(°C) 25도 이상,상대습도 (건조),상대습도 (적정),상대습도 (습함)
0,광주,2017,2,7.228571428571428,3.5,-4.1,5.4,1.9285714285714286,0.00842857142857143,1.2714285714285716,0.04228571428571428,0.05985714285714285,140.85714285714286,77.71428571428571,4,1,0,0,1,0,1,0,28.0,1,0,0,0,0,1,0
1,대구,2017,2,8.342857142857143,4.8999999999999995,-3.8999999999999995,9.1,3.9857142857142853,0.01,1.5714285714285714,0.04257142857142857,0.04985714285714286,152.42857142857142,91.14285714285714,0,0,0,0,0,2,2,3,44.0,1,0,0,0,0,1,0
2,대전,2017,2,8.971428571428572,3.8,-5.9,5.9,1.9142857142857144,0.008857142857142857,1.5142857142857142,0.033857142857142856,0.054,103.71428571428571,56.42857142857143,0,0,0,0,1,0,0,6,35.0,1,0,0,0,0,1,0
3,부산,2017,2,8.7,3.799999999999999,-4.1,10.2,3.9142857142857146,0.010142857142857143,0.9285714285714286,0.04128571428571428,0.052,85.28571428571429,61.142857142857146,0,0,0,0,0,1,4,2,51.0,1,0,0,0,1,0,0
4,서울,2017,2,8.114285714285714,4.5,-7.1,7.0,2.957142857142857,0.009857142857142858,1.8285714285714287,0.015714285714285715,0.058,99.57142857142857,68.85714285714286,0,0,0,0,0,2,5,0,216.0,1,0,0,0,0,1,0
5,울산,2017,2,8.242857142857144,5.1,-3.7,8.3,3.0714285714285716,0.02457142857142857,1.3714285714285717,0.04342857142857143,0.05157142857142857,98.28571428571429,59.714285714285715,0,0,0,0,0,1,4,2,17.0,1,0,0,0,0,1,0
6,인천,2017,2,6.847619047619048,3.7,-6.0,9.9,4.585714285714286,0.007428571428571429,1.1285714285714286,0.040857142857142856,0.045571428571428575,105.42857142857143,72.14285714285714,1,0,0,0,0,0,0,6,72.0,1,0,0,0,0,1,0
7,광주,2017,3,7.8,3.0,-1.9,5.0,1.5999999999999999,0.009857142857142858,1.4714285714285715,0.04014285714285715,0.0652857142857143,143.57142857142858,64.85714285714286,1,3,0,0,0,1,1,1,29.0,1,0,0,0,0,1,0
8,대구,2017,3,10.142857142857142,2.8,-3.0999999999999996,9.9,2.357142857142857,0.009142857142857144,1.6857142857142857,0.040857142857142856,0.04585714285714286,161.14285714285714,109.28571428571429,0,0,0,0,0,1,4,2,48.0,1,0,0,0,0,1,0
9,대전,2017,3,9.728571428571428,2.9,-3.3999999999999995,5.8,1.3,0.009857142857142858,1.042857142857143,0.04114285714285714,0.05642857142857143,78.57142857142857,44.714285714285715,0,0,0,1,0,0,3,3,40.0,1,0,0,0,0,1,0
